Nombre ,Campo STEM,Institución,Destacado,"Contacto (página personal, otros)",Departamento/ciudad,Latitud,Longitud,,,,,,,,,,,,,,,,,
Claudia A. Guzman Cejas,Ingeniera ambiental ,CLO Alimentación Real y Consciente,"Propietario, gerente de  CLO Alimentación Real y Consciente",https://www.linkedin.com/in/claudia-a-guzm%C3%A1n-sejas-63a49464/,Cochabamba,-17.3895,-66.1568,,,,,,,,,,,,,,,,,
Veronica Moreno ,Ingeniería Industrial,UPB,Consultora independiente ,https://www.linkedin.com/in/veronica-moreno-168593/,Cochabamba,-17.3895,-66.1568,,,,,,,,,,,,,,,,,
Nicole Fabiana Figueroa Quiroga,Ingeniría financiera,BNB,Analista de riesgo ,https://www.linkedin.com/in/nicolef-figueroaq/,Cochabamba,-17.3895,-66.1568,,,,,,,,,,,,,,,,,
Jennyfer Moscoso Antezana,Ingeniería ambiental ,"Fundación Patiño
",Coordinadora de Logística Congreso ConectaEdu STEM+|,https://www.linkedin.com/in/jennyfer-moscoso-antezana-8286421a1/,Cochabamba,-17.3895,-66.1568,,,,,,,,,,,,,,,,,
Adriana Köller Claure,Ingeniería Industrial,UCB-EMI,Docente Responsable del club de ciencias,https://www.linkedin.com/in/adriana-k%C3%B6ller-claure-3a8251b6/,Cochabamba,-17.3895,-66.1568,,,,,,,,,,,,,,,,,
Patricia Cabero Tapia ,Ingeniería de sistemas,ProcessMaker,Gold and Silver Stevie Awards for Technology Excellence in Education in 2024,https://www.linkedin.com/in/pattycabero/?originalSubdomain=bo,La Paz,-16.5,-68.15,,,,,,,,,,,,,,,,,
Paola Alvizuri,Ingeniería ambiental ,UCB,Ganadora de financiamiento de La Organización de Mujeres en la Ciencia para el Mundo en Desarrollo,https://www.linkedin.com/in/paola-alvizuri-4056981b5/?originalSubdomain=bo,La Paz,-16.5,-68.15,,,,,,,,,,,,,,,,,
Andrea Espinar,Ingeniería química,UCB,Directora de la carrera de Ingeniería química e Ingeniería bioquímica y de bioprocesos ,https://www.linkedin.com/in/andrea-espinar-saavedra-b0935624a/,La Paz,-16.5,-68.15,,,,,,,,,,,,,,,,,
Alina Santander Vinokurova,Ingeniería mecatrónica,Vaughn College y UMSA,Participó en versión de la competencia de la NASA y fue el primer equipo femenino boliviano obtuvo el primer lugar en la categoría «High School».,https://www.linkedin.com/in/alina-santander-vinokurova/?locale=es_ES,La Paz,-16.5,-68.15,,,,,,,,,,,,,,,,,
Camila Velasco,Ingeniería espacial ,Instituto Superior de Aeronáutica y Espacio (ISAE) en Francia,"Participó en el desarrollo del explorador Perseverance, que hoy llegó a Marte con la misión de buscar indicios de vida",https://www.linkedin.com/in/camila-velasco-mars-space/?originalSubdomain=fr,La Paz,-16.5,-68.15,,,,,,,,,,,,,,,,,
Carla Marcela Florida ,Ingeniería Sistemas,UPB,CEO en Menty Academy Bolivia,https://www.linkedin.com/in/carlamfr/?originalSubdomain=bo,La Paz,-16.5,-68.15,,,,,,,,,,,,,,,,,
Veronica Velarde,Estadística ,Banco Sol ,Gerente Nacional de Marketing Estratégico,https://www.linkedin.com/in/ver%C3%B3nica-velarde-lijeron-a50074113/?originalSubdomain=bo,La Paz,-16.5,-68.15,,,,,,,,,,,,,,,,,
Monica Moraes ,Biología ,Instituto de Ecología,Presidente de ANC,https://pure.umsa.bo/es/persons/m%C3%B3nica-graciela-moraes-ramirez,La Paz,-16.5,-68.15,,,,,,,,,,,,,,,,,
María Eugenia García Moreno,Química,UMSA,Vicerrectora,https://www.linkedin.com/in/maria-eugenia-garcia-7a97251b/?originalSubdomain=bo,La Paz,-16.5,-68.15,,,,,,,,,,,,,,,,,
María Montero Tangara,Ingeniería industrial ,ACERGAL,Jefe de almacen y tiene magister en administración y dirección de empresas,https://www.linkedin.com/in/mariana-montero-tangara-736581120/?originalSubdomain=bo,La Paz,-16.5,-68.15,,,,,,,,,,,,,,,,,
Cecilia Jauregui,Ingeniería Industrial,Innovaplast,Fundadora y CEO de Innovaplast,https://www.linkedin.com/in/cecilia-jauregui-6b1383140/,La Paz,-16.5,-68.15,,,,,,,,,,,,,,,,,
Daniella García Moreno,Ingeniería sistemas,Elemental,Founder & CEO at Elemental,https://www.linkedin.com/in/angeladaniellagarcia/,La Paz,-16.5,-68.15,,,,,,,,,,,,,,,,,
Karen Vidaurre,Ingeniería mecatrónica,CUBESAT BOLIVIA,Lider de proyectos,https://www.linkedin.com/in/karen-vidaurre-torrez/details/education/,La Paz,-16.5,-68.15,,,,,,,,,,,,,,,,,
Nadia Gonzales Prado ,Ingeniería biomédica,ECOTER,Especialista Biomédico,https://www.linkedin.com/in/nadia-gonzales-prado-/?originalSubdomain=bo,La Paz/Tarija,-16.5,-68.15,,,,,,,,,,,,,,,,,
